Name,Start,End,Size
iSetAlarm,0x00119680,0x00119690,16
iReleaseAlarm,0x00119690,0x001196A0,16
CreateThread,0x001196A0,0x001196B0,16
DeleteThread,0x001196B0,0x001196C0,16
StartThread,0x001196C0,0x001196D0,16
ExitThread,0x001196D0,0x001196E0,16
ExitDeleteThread,0x001196E0,0x001196F0,16
TerminateThread,0x001196F0,0x00119700,16
iTerminateThread,0x00119700,0x00119710,16
DisableDispatchThread,0x00119710,0x00119720,16
EnableDispatchThread,0x00119720,0x00119730,16
ChangeThreadPriority,0x00119730,0x00119740,16
iChangeThreadPriority,0x00119740,0x00119750,16
RotateThreadReadyQueue,0x00119750,0x00119760,16
_iRotateThreadReadyQueue,0x00119760,0x00119770,16
ReleaseWaitThread,0x00119770,0x00119780,16
iReleaseWaitThread,0x00119780,0x00119790,16
GetThreadId,0x00119790,0x001197A0,16
ReferThreadStatus,0x001197A0,0x001197B0,16
iReferThreadStatus,0x001197B0,0x001197C0,16
SleepThread,0x001197C0,0x001197D0,16
WakeupThread,0x001197D0,0x001197E0,16
_iWakeupThread,0x001197E0,0x001197F0,16
CancelWakeupThread,0x001197F0,0x00119800,16
iCancelWakeupThread,0x00119800,0x00119810,16
SuspendThread,0x00119810,0x00119820,16
_iSuspendThread,0x00119820,0x00119830,16
ResumeThread,0x00119830,0x00119840,16
iResumeThread,0x00119840,0x00119850,16
JoinThread,0x00119850,0x00119860,16
RFU060,0x00119860,0x00119870,16
RFU061,0x00119870,0x00119880,16
EndOfHeap,0x00119880,0x00119890,16
RFU063,0x00119890,0x001198A0,16
CreateSema,0x001198A0,0x001198B0,16
DeleteSema,0x001198B0,0x001198C0,16
SignalSema,0x001198C0,0x001198D0,16
iSignalSema,0x001198D0,0x001198E0,16
WaitSema,0x001198E0,0x001198F0,16
PollSema,0x001198F0,0x00119900,16
iPollSema,0x00119900,0x00119910,16
ReferSemaStatus,0x00119910,0x00119920,16
iReferSemaStatus,0x00119920,0x00119930,16
RFU073,0x00119930,0x00119940,16
SetOsdConfigParam,0x00119940,0x00119950,16
GetOsdConfigParam,0x00119950,0x00119960,16
GetGsHParam,0x00119960,0x00119970,16
GetGsVParam,0x00119970,0x00119980,16
SetGsHParam,0x00119980,0x00119990,16
SetGsVParam,0x00119990,0x001199A0,16
RFU080_CreateEventFlag,0x001199A0,0x001199B0,16
RFU081_DeleteEventFlag,0x001199B0,0x001199C0,16
RFU082_SetEventFlag,0x001199C0,0x001199D0,16
RFU083_iSetEventFlag,0x001199D0,0x001199E0,16
RFU084_ClearEventFlag,0x001199E0,0x001199F0,16
RFU085_iClearEventFlag,0x001199F0,0x00119A00,16
RFU086_WaitEvnetFlag,0x00119A00,0x00119A10,16
RFU087_PollEvnetFlag,0x00119A10,0x00119A20,16
RFU088_iPollEvnetFlag,0x00119A20,0x00119A30,16
RFU089_ReferEventFlagStatus,0x00119A30,0x00119A40,16
RFU090_iReferEventFlagStatus,0x00119A40,0x00119A50,16
RFU091,0x00119A50,0x00119A60,16
EnableIntcHandler,0x00119A60,0x00119A70,16
iEnableIntcHandler,0x00119A70,0x00119A80,16
DisableIntcHandler,0x00119A80,0x00119A90,16
iDisableIntcHandler,0x00119A90,0x00119AA0,16
EnableDmacHandler,0x00119AA0,0x00119AB0,16
iEnableDmacHandler,0x00119AB0,0x00119AC0,16
DisableDmacHandler,0x00119AC0,0x00119AD0,16
iDisableDmacHandler,0x00119AD0,0x00119AE0,16
KSeg0,0x00119AE0,0x00119AF0,16
EnableCache,0x00119AF0,0x00119B00,16
DisableCache,0x00119B00,0x00119B10,16
GetCop0,0x00119B10,0x00119B20,16
FlushCache,0x00119B20,0x00119B30,16
CpuConfig,0x00119B30,0x00119B40,16
iGetCop0,0x00119B40,0x00119B50,16
iFlushCache,0x00119B50,0x00119B60,16
iCpuConfig,0x00119B60,0x00119B70,16
sceSifStopDma,0x00119B70,0x00119B80,16
SetCPUTimerHandler,0x00119B80,0x00119B90,16
SetCPUTimer,0x00119B90,0x00119BA0,16
SetOsdConfigParam2,0x00119BA0,0x00119BB0,16
GetOsdConfigParam2,0x00119BB0,0x00119BC0,16
GsGetIMR,0x00119BC0,0x00119BD0,16
iGsGetIMR,0x00119BD0,0x00119BE0,16
GsPutIMR,0x00119BE0,0x00119BF0,16
iGsPutIMR,0x00119BF0,0x00119C00,16
SetPgifHandler,0x00119C00,0x00119C10,16
SetVSyncFlag,0x00119C10,0x00119C20,16
RFU116,0x00119C20,0x00119C30,16
_print,0x00119C30,0x00119C40,16
sceSifDmaStat,0x00119C40,0x00119C50,16
isceSifDmaStat,0x00119C50,0x00119C60,16
sceSifSetDma,0x00119C60,0x00119C70,16
isceSifSetDma,0x00119C70,0x00119C80,16
sceSifSetDChain,0x00119C80,0x00119C90,16
isceSifSetDChain,0x00119C90,0x00119CA0,16
sceSifSetReg,0x00119CA0,0x00119CB0,16
sceSifGetReg,0x00119CB0,0x00119CC0,16
_ExecOSD,0x00119CC0,0x00119CD0,16
Deci2Call,0x00119CD0,0x00119CE0,16
PSMode,0x00119CE0,0x00119CF0,16
MachineType,0x00119CF0,0x00119D00,16
GetMemorySize,0x00119D00,0x00119D10,16
_InitTLB,0x00119D10,0x00119D20,16
sceResetttyinit,0x00119D20,0x00119D2C,12
VSync,0x00119D30,0x00119D34,4
VSync2,0x00119DC0,0x00119DC4,4
write,0x00119E68,0x00119E70,8
read,0x00119EE8,0x00119EEC,4
open,0x00119F60,0x00119F64,4
close,0x00119F88,0x00119F90,8
ioctl,0x00119F90,0x00119F98,8
lseek,0x00119F98,0x00119FA0,8
sbrk,0x00119FA0,0x00119FA4,4
isatty,0x0011A050,0x0011A058,8
fstat,0x0011A058,0x0011A05C,4
getpid,0x0011A070,0x0011A078,8
kill,0x0011A078,0x0011A084,12
stat,0x0011A0A0,0x0011A0A4,4
unlink,0x0011A0C8,0x0011A0CC,4
_sceSDC,0x0011A0F0,0x0011A194,164
SyncDCache,0x0011A198,0x0011A19C,4
iSyncDCache,0x0011A218,0x0011A22C,20
_sceIDC,0x0011A230,0x0011A2D4,164
InvalidDCache,0x0011A2D8,0x0011A2DC,4
iInvalidDCache,0x0011A358,0x0011A36C,20
QueryIntrContext,0x0011A370,0x0011A380,16
DisableIntc,0x0011A380,0x0011A384,4
EnableIntc,0x0011A3E8,0x0011A3EC,4
DisableDmac,0x0011A450,0x0011A454,4
EnableDmac,0x0011A4B8,0x0011A4BC,4
iEnableIntc,0x0011A520,0x0011A524,4
iDisableIntc,0x0011A540,0x0011A544,4
iEnableDmac,0x0011A560,0x0011A564,4
iDisableDmac,0x0011A580,0x0011A584,4
setup,0x0011A5A0,0x0011A5B0,16
Copy,0x0011A5B0,0x0011A5C0,16
kCopy,0x0011A5C0,0x0011A5F8,56
GetEntryAddress,0x0011A5F8,0x0011A608,16
InitAlarm,0x0011A608,0x0011A610,8
topThread,0x0011A6E0,0x0011A6E4,4
InitThread,0x0011A7B8,0x0011A7BC,4
iWakeupThread,0x0011A890,0x0011A894,4
iRotateThreadReadyQueue,0x0011A928,0x0011A92C,4
iSuspendThread,0x0011A9A8,0x0011A9AC,4
sceDeci2Open,0x0011AA40,0x0011AA64,36
sceDeci2Close,0x0011AA88,0x0011AA94,12
sceDeci2ReqSend,0x0011AAB0,0x0011AAC8,24
sceDeci2Poll,0x0011AAE0,0x0011AAEC,12
sceDeci2ExRecv,0x0011AB08,0x0011AB18,16
sceDeci2ExSend,0x0011AB40,0x0011AB50,16
sceDeci2ExReqSend,0x0011AB78,0x0011AB90,24
sceDeci2ExLock,0x0011ABA8,0x0011ABB4,12
sceDeci2ExUnLock,0x0011ABD0,0x0011ABDC,12
kputs,0x0011ABF8,0x0011AC04,12
QueueInit,0x0011AC20,0x0011AC44,36
QueuePeekWriteDone,0x0011AC48,0x0011AC84,60
QueuePeekReadDone,0x0011AC88,0x0011ACC4,60
sceTtyHandler,0x0011ACC8,0x0011ACD0,8
sceTtyWrite,0x0011AE60,0x0011AE64,4
sceTtyRead,0x0011AFB0,0x0011AFB8,8
sceTtyInit,0x0011B080,0x0011B088,8
kputchar,0x0011B140,0x0011B178,56
deci2Putchar,0x0011B178,0x0011B17C,4
serialPutchar,0x0011B228,0x0011B234,12
ftoi,0x0011B260,0x0011B264,4
printfloat,0x0011B2F0,0x0011B2F4,4
_printf,0x0011B458,0x0011B45C,4
kprintf,0x0011BA20,0x0011BA24,4
scePrintf,0x0011BA58,0x0011BA60,8
_set_sreg,0x0011BAB8,0x0011BAD4,28
_change_addr,0x0011BAD8,0x0011BAE4,12
sceSifGetSreg,0x0011BAE8,0x0011BB00,24
sceSifSetSreg,0x0011BB00,0x0011BB1C,28
sceSifGetDataTable,0x0011BB20,0x0011BB2C,12
sceSifInitCmd,0x0011BB30,0x0011BB34,4
sceSifExitCmd,0x0011BDB0,0x0011BDB4,4
sceSifSetCmdBuffer,0x0011BDE8,0x0011BE00,24
sceSifSetSysCmdBuffer,0x0011BE00,0x0011BE18,24
sceSifAddCmdHandler,0x0011BE18,0x0011BE44,44
sceSifRemoveCmdHandler,0x0011BE48,0x0011BE70,40
_sceSifSendCmd,0x0011BE70,0x0011BE74,4
sceSifSendCmd,0x0011BFA8,0x0011BFC0,24
isceSifSendCmd,0x0011BFE8,0x0011C000,24
_sceSifCmdIntrHdlr,0x0011C028,0x0011C02C,4
sceSifWriteBackDCache,0x0011C150,0x0011C1FC,172
sceSifInitRpc,0x0011C200,0x0011C204,4
sceSifExitRpc,0x0011C3A0,0x0011C3A4,4
_sceRpcGetPacket,0x0011C3C8,0x0011C3CC,4
_sceRpcFreePacket,0x0011C470,0x0011C48C,28
_sceRpcGetFPacket,0x0011C490,0x0011C4C0,48
_sceRpcGetFPacket2,0x0011C4C0,0x0011C500,28
_request_end,0x0011C500,0x0011C508,8
_request_rdata,0x0011C5B8,0x0011C5BC,4
sceSifGetOtherData,0x0011C618,0x0011C61C,4
_search_svdata,0x0011C770,0x0011C7BC,76
_request_bind,0x0011C7C0,0x0011C7C4,4
sceSifBindRpc,0x0011C870,0x0011C874,4
_request_call,0x0011C9B0,0x0011CA3C,140
sceSifCallRpc,0x0011CA40,0x0011CA44,4
sceSifCheckStatRpc,0x0011CC30,0x0011CC6C,60
sceSifSetRpcQueue,0x0011CC70,0x0011CC74,4
sceSifRegisterRpc,0x0011CD08,0x0011CD0C,4
sceSifRemoveRpc,0x0011CDD8,0x0011CDDC,4
sceSifRemoveRpcQueue,0x0011CE70,0x0011CE74,4
sceSifGetNextRequest,0x0011CF00,0x0011CF04,4
sceSifExecRequest,0x0011CF58,0x0011CF5C,4
sceSifRpcLoop,0x0011D120,0x0011D124,4
_sceFsIobSemaMK,0x0011D160,0x0011D168,8
new_iob,0x0011D1C0,0x0011D1C4,4
get_iob,0x0011D248,0x0011D24C,4
_sceFs_Rcv_Intr,0x0011D2B8,0x0011D2C8,16
_sceFsSemInit,0x0011D678,0x0011D680,8
_sceFsWaitS,0x0011D6C8,0x0011D6CC,4
_sceFsSigSema,0x0011D6F8,0x0021B5D8,16
scePowerOffHandler,0x0011D708,0x0011D70C,4
_sceFs_Poff_Intr,0x0011D798,0x0011D7B4,16
sceFsInit,0x0011D7C8,0x0011D7D0,8
_fs_version,0x0011D990,0x0011D998,8
sceFsReset,0x0011DA20,0x0011DA2C,12
sceOpen,0x0011DA58,0x0011DA5C,4
sceClose,0x0011DCE0,0x0011DCE4,4
sceLseek,0x0011DE60,0x0011DE64,4
sceRead,0x0011E098,0x0011E09C,4
sceWrite,0x0011E308,0x0011E30C,4
sceIoctl,0x0011E5C8,0x0011E5CC,4
sceIoctl2,0x0011E918,0x0011E91C,4
_sceCallCode,0x0011EAF8,0x0011EAFC,4
sceRemove,0x0011ECA0,0x0011ECA4,4
sceMkdir,0x0011ECC0,0x0011ECC4,4
sceRmdir,0x0011EE70,0x0011EE74,4
sceFormat,0x0011EE90,0x0011EE94,4
sceAddDrv,0x0011F100,0x0011F104,4
sceDelDrv,0x0011F220,0x0011F224,4
sceDopen,0x0011F240,0x0011F244,4
sceDclose,0x0011F308,0x0011F30C,4
sceDread,0x0011F470,0x0011F474,4
sceGetstat,0x0011F5C8,0x0011F5CC,4
sceChstat,0x0011F768,0x0011F76C,4
sceRename,0x0011F9A8,0x0011F9AC,4
sceChdir,0x0011FB98,0x0011FB9C,4
sceSync,0x0011FBB8,0x0011FBBC,4
sceMount,0x0011FD50,0x0011FD54,4
sceUmount,0x0011FFC0,0x0011FFC4,4
sceLseek64,0x0011FFE0,0x0011FFE4,4
sceDevctl,0x00120218,0x0012021C,4
sceSymlink,0x00120450,0x00120454,4
sceReadlink,0x00120630,0x00120634,4
sceSifInitIopHeap,0x001207F8,0x001207FC,4
sceSifAllocIopHeap,0x00120880,0x00120890,16
sceSifAllocSysMemory,0x001208F0,0x00120900,16
sceSifFreeSysMemory,0x00120970,0x00120980,16
sceSifFreeIopHeap,0x001209E8,0x001209EC,4
sceSifLoadIopHeap,0x00120A08,0x00120A18,16
_lf_bind,0x00120AF8,0x00120AFC,4
_lf_version,0x00120BF8,0x00120C00,8
sceSifLoadFileReset,0x00120C88,0x00120C98,16
_sceSifLoadModuleBuffer,0x00120CC0,0x00120CC4,4
sceSifStopModule,0x00120EC8,0x00120ECC,4
sceSifUnloadModule,0x001210D0,0x001210D4,4
sceSifSearchModuleByName,0x00121160,0x00121164,4
sceSifSearchModuleByAddress,0x00121200,0x00121204,4
sceSifLoadModuleBuffer,0x00121290,0x00121294,4
sceSifLoadStartModuleBuffer,0x001212B0,0x001212B4,4
_sceSifLoadModule,0x001212D0,0x001212D4,4
sceSifLoadModule,0x001214F8,0x00121500,8
sceSifLoadStartModule,0x00121518,0x0012151C,4
_sceSifLoadElfPart,0x00121538,0x0012153C,4
sceSifLoadElfPart,0x00121640,0x00121644,4
sceSifLoadElf,0x00121660,0x0012166C,12
sceSifGetIopAddr,0x00121688,0x0012168C,4
sceSifSetIopAddr,0x00121778,0x0012177C,4
sceSifResetIop,0x00121858,0x0012185C,4
sceSifIsAliveIop,0x00121998,0x0012199C,4
sceSifSyncIop,0x001219C0,0x001219C4,4
sceSifRebootIop,0x001219F8,0x00121A00,8
SetTLBHandler,0x00121B08,0x00121B10,8
SetDebugHandler,0x00121B68,0x00121B74,12
Copy,0x00121BF0,0x00121C00,16
kCopy,0x00121C00,0x00121C38,56
GetEntryAddress,0x00121C38,0x00121C48,16
setup,0x00121C48,0x00121C58,16
InitTLBFunctions,0x00121C58,0x00121C60,8
PutTLBEntry,0x00121D10,0x00121D20,16
iPutTLBEntry,0x00121D20,0x00121D30,16
_SetTLBEntry,0x00121D30,0x00121D40,16
SetTLBEntry,0x00121D40,0x00121D64,24
iSetTLBEntry,0x00121D70,0x00121D80,16
GetTLBEntry,0x00121D80,0x00121D90,16
iGetTLBEntry,0x00121D90,0x00121DA0,16
ProbeTLBEntry,0x00121DA0,0x00121DB0,16
iProbeTLBEntry,0x00121DB0,0x00121DC0,16
ExpandScratchPad,0x00121DC0,0x00121DD0,16
InitTLB,0x00121DD0,0x00121DD4,4
InitTLB32MB,0x00121E10,0x00121E18,8
_kTLBException,0x00122040,0x0012204C,12
_kExitTLBHandler,0x00122180,0x001221A8,40
_kDebugException,0x00122280,0x0012228C,12
DIntr,0x001223A0,0x001223E8,36
EIntr,0x001223E8,0x001223F4,12
supplement_crt0,0x00122400,0x00122408,8
kFindAddress,0x00122448,0x0012247C,52
FindAddress,0x00122480,0x00122490,16
GetSystemCallTableEntry,0x00122490,0x001224A4,20
setup,0x001224D0,0x001224E0,16
_setup,0x001224E0,0x001224FC,28
_InitSys,0x00122500,0x00122504,4
setup,0x00122540,0x00122550,16
Copy,0x00122550,0x00122560,16
kCopy,0x00122560,0x00122598,56
GetEntryAddress,0x00122598,0x001225A8,16
PatchIsNeeded,0x001225A8,0x001225AC,4
InitExecPS2,0x00122610,0x00122614,4
TerminateLibrary,0x001226C0,0x001226C8,8
ExecPS2,0x001226C8,0x001226CC,4
LoadExecPS2,0x00122728,0x0012272C,4
Exit,0x00122770,0x00122774,4
ExecOSD,0x00122798,0x0012279C,4
sceSdRemoteInit,0x001227D0,0x001227D8,8
sceSdTransToIOP,0x00122878,0x00122880,8
sceSdCallBack,0x00122900,0x00122910,16
sceSdRemote,0x00122910,0x00122918,8
__ieee754_atan2,0x00122B00,0x00122B08,8
__ieee754_fmod,0x00122E40,0x00122E48,8
__ieee754_rem_pio2,0x00123260,0x00123264,4
__ieee754_sqrt,0x00123818,0x0012381C,4
__ieee754_acosf,0x00123B38,0x00123B40,8
__ieee754_asinf,0x00123F78,0x00123F7C,4
__ieee754_atan2f,0x00124330,0x00124338,8
__ieee754_fmodf,0x00124518,0x001246E8,452
__ieee754_rem_pio2f,0x001246E8,0x001246F0,8
__ieee754_sqrtf,0x00124AB0,0x00124B84,208
__kernel_cos,0x00124B88,0x00124B8C,4
__kernel_rem_pio2,0x00124E60,0x00124E84,36
__kernel_sin,0x001259B0,0x001259B4,4
__kernel_cosf,0x00125BE8,0x00125D58,364
__kernel_rem_pio2f,0x00125D58,0x00125D6C,20
__kernel_sinf,0x00126600,0x00126724,288
__kernel_tanf,0x00126728,0x001269C0,536
atan,0x001269D0,0x001269D4,4
copysign,0x00126E98,0x00126EA0,8
cos,0x00126EE0,0x00126EEC,12
fabs,0x00127008,0x0012700C,4
floor,0x00127040,0x00127048,8
isinf,0x00127258,0x00127259,1
isnan,0x001272A0,0x001272A4,4
scalbn,0x001272E0,0x001272E8,8
sin,0x001274C8,0x001274D4,12
atanf,0x00127600,0x00127608,8
copysignf,0x001278A0,0x001278DC,60
cosf,0x001278E0,0x001278E8,8
fabsf,0x001279B8,0x001279E0,40
floorf,0x001279E0,0x00127AD0,236
modff,0x00127AD0,0x00127B60,140
scalbnf,0x00127B60,0x00127B68,8
sinf,0x00127C28,0x00127C30,8
tanf,0x00127D10,0x00127D18,8
atan2,0x00127D88,0x00127D8C,4
fmod,0x00127DA0,0x00127DA4,4
sqrt,0x00127DB8,0x00127DBC,4
acosf,0x00127DD0,0x00127DD4,4
asinf,0x00127DE8,0x00127DEC,4
atan2f,0x00127E00,0x00127E04,4
fmodf,0x00127E18,0x00127E1C,4
sqrtf,0x00127E30,0x00127E34,4
__muldi3,0x00127E48,0x00127E49,1
__divdi3,0x00127EC0,0x00127EC4,4
__moddi3,0x00128558,0x00128560,8
__udivdi3,0x00128BE8,0x00128BE9,1
__umoddi3,0x00129168,0x0012916C,4
__floatdidf,0x001296D0,0x001296D4,4
__floatdisf,0x00129778,0x00129780,8
__fixunsdfdi,0x00129860,0x00129868,8
__fixunssfdi,0x00129978,0x0012997C,4
__fixsfdi,0x00129AA0,0x00129AB8,24
__pack_f,0x00129AE8,0x00129BB8,208
__unpack_f,0x00129BB8,0x00129C14,88
fptosi,0x00129C18,0x00129C24,12
__make_fp,0x00129C98,0x00129CA4,12
fptodp,0x00129CC8,0x00129CD4,12
fptoui,0x00129D08,0x00129D14,12
__pack_d,0x00129D88,0x00129D90,8
__unpack_d,0x00129EA0,0x00129EA1,1
_fpadd_parts,0x00129F50,0x0012A1AC,152
dpadd,0x0012A1B0,0x0012A1B4,4
dpsub,0x0012A208,0x0012A20C,4
dpmul,0x0012A270,0x0012A274,4
dpdiv,0x0012A520,0x0012A524,4
__fpcmp_parts_d,0x0012A698,0x0012A7B8,244
dpcmp,0x0012A7B8,0x0012A7BC,4
litodp,0x0012A808,0x0012A814,12
dptoli,0x0012A8C0,0x0012A8C4,4
__make_dp,0x0012A960,0x0012A96C,12
dptofp,0x0012A990,0x0012A994,4
dptoul,0x0012A9E8,0x0012A9EC,4
CB_DelayTh,0x0012AA88,0x0012AA8C,4
sceCdDelayThread,0x0012AAB0,0x0012AAB8,8
sceCdCallback,0x0012AB18,0x0012AB1C,4
_sceCd_cd_callback,0x0012AB70,0x0012AB78,8
_Cdvd_cbLoop,0x0012AC10,0x0012AC14,4
sceCdInitEeCB,0x0012ACD0,0x0012ACD4,4
_sceCd_cd_read_intr,0x0012ADA8,0x0012AE48,160
cmd_sem_init,0x0012AE48,0x0012AE50,8
cdvd_exit,0x0012AEE0,0x0012AEEC,12
sceCdPOffCallback,0x0012AF60,0x0012AF68,8
_sceCd_Poff_Intr,0x0012AFD0,0x0012AFE0,16
PowerOffCB,0x0012B010,0x0012B014,4
sceCdSearchFile,0x0012B078,0x0012B07C,4
_sceCd_ncmd_prechk,0x0012B378,0x0012B37C,4
sceCdNcmdDiskReady,0x0012B4E8,0x0012B4F0,8
sceCdSync,0x0012B580,0x0012B584,4
sceCdSyncS,0x0012B620,0x0012B624,4
_sceCd_scmd_prechk,0x0012B690,0x0012B694,4
sceCdInit,0x0012B800,0x0012B804,4
sceCdDiskReady,0x0012BAE0,0x0012BAE4,4
sceCdMmode,0x0012BCD8,0x0012BCDC,4
sceCdRead,0x0012BDA0,0x0012BDA8,8
sceCdGetError,0x0012BF80,0x0012BF88,8
sceCdStatus,0x0012C018,0x0012C020,8
sceCdStInit,0x0012C0D0,0x0012C0DC,12
sceCdStStart,0x0012C100,0x0012C110,16
sceCdStSeekF,0x0012C138,0x0012C140,8
sceCdStSeek,0x0012C168,0x0012C170,8
sceCdStStop,0x0012C198,0x0012C1A4,12
sceCdStRead,0x0012C1D0,0x0012C1D4,4
sceCdStPause,0x0012C358,0x0012C368,16
sceCdStResume,0x0012C3A8,0x0012C3BC,20
sceCdStStat,0x0012C400,0x0012C43C,44
sceCdStream,0x0012C448,0x0012C44C,4
_send_to_iop,0x0012C5B0,0x0012C5B8,8
scePadInit,0x0012C6C8,0x0012C6D0,8
scePadInit2,0x0012C808,0x0012C814,12
scePadEnd,0x0012C8A8,0x0012C8B0,8
scePadPortOpen,0x0012C928,0x0012C92C,4
scePadPortClose,0x0012CB10,0x0012CB20,16
scePadGetDmaStr,0x0012CBC8,0x0012CBD0,8
scePadGetFrameCount,0x0012CC28,0x0012CC38,16
scePadRead,0x0012CC78,0x0012CC88,16
scePadGetState,0x0012CCF8,0x0012CD08,16
scePadStateIntToStr,0x0012CD70,0x0012CDA4,52
scePadSetReqState,0x0012CDA8,0x0012CDB8,16
scePadGetReqState,0x0012CE10,0x0012CE20,16
scePadReqIntToStr,0x0012CE60,0x0012CE94,52
scePadInfoAct,0x0012CE98,0x0012CEA8,16
scePadInfoComb,0x0012CFB8,0x0012CFC8,16
scePadInfoMode,0x0012D0D8,0x0012D0E8,16
scePadSetMainMode,0x0012D210,0x0012D218,8
scePadSetActDirect,0x0012D2C8,0x0012D2CC,4
scePadSetActAlign,0x0012D388,0x0012D390,8
scePadGetButtonMask,0x0012D460,0x0012D470,16
scePadSetButtonInfo,0x0012D518,0x0012D520,8
scePadInfoPressMode,0x0012D5C8,0x0012D5D8,16
scePadEnterPressMode,0x0012D628,0x0012D638,16
scePadExitPressMode,0x0012D680,0x0012D690,16
scePadSetVrefParam,0x0012D6D8,0x0012D6E0,8
scePadGetPortMax,0x0012D7A8,0x0012D7B0,8
scePadGetSlotMax,0x0012D810,0x0012D818,8
scePadGetModVersion,0x0012D878,0x0012D880,8
scePadSetWarningLevel,0x0012D8E0,0x0012D8E8,8
sceMcInit,0x0012D948,0x0012D94C,4
sceMcEnd,0x0012DB00,0x0012DB04,4
_lmcGetClientPtr,0x0012DB40,0x0012DB70,48
sceMcChangeThreadPriority,0x0012DB70,0x0012DB74,4
sceMcGetSlotMax,0x0012DC28,0x0012DC2C,4
sceMcOpen,0x0012DCE8,0x0012DCEC,4
sceMcMkdir,0x0012DE20,0x0012DE24,4
sceMcClose,0x0012DE58,0x0012DE5C,4
sceMcSeek,0x0012DF10,0x0012DF14,4
mceIntrReadFixAlign,0x0012DFE8,0x0012E078,144
sceMcRead,0x0012E078,0x0012E07C,4
sceMcWrite,0x0012E198,0x0012E19C,4
mcHearAlarm,0x0012E318,0x0012E31C,4
mcDelayThread,0x0012E340,0x0012E344,4
sceMcSync,0x0012E388,0x0012E38C,4
mceGetInfoApdx,0x0012E468,0x0012E4BC,84
sceMcGetInfo,0x0012E4C0,0x0012E4C4,4
sceMcUdCheckNewCard,0x0012E648,0x0012E650,8
sceMcGetDir,0x0012E6B8,0x0012E6BC,4
mceStorePwd,0x0012E810,0x0012E814,4
sceMcChdir,0x0012E898,0x0012E89C,4
sceMcFormat,0x0012E9E8,0x0012E9EC,4
sceMcDelete,0x0012EAB0,0x0012EAB4,4
sceMcFlush,0x0012EBD8,0x0012EBDC,4
sceMcSetFileInfo,0x0012EC90,0x0012EC94,4
sceMcRename,0x0012EE68,0x0012EE6C,4
sceMcUnformat,0x0012EFD0,0x0012EFD4,4
sceMcGetEntSpace,0x0012F098,0x0012F09C,4
sceMSIn_Init,0x0012F1B0,0x0012F230,128
sceMSIn_ATick,0x0012F230,0x0012F238,8
sceMSIn_Load,0x0012F238,0x0012F240,8
put_message,0x0012F240,0x0012F2D4,148
sceMSIn_PutMsg,0x0012F2D8,0x0012F2E0,8
sceMSIn_PutExcMsg,0x0012F388,0x0012F390,8
sceMSIn_PutHsMsg,0x0012F400,0x0012F43C,32
abort,0x0012F448,0x0012F44C,4
abs,0x0012F460,0x0012F474,20
_calloc_r,0x0012F478,0x0012F47C,4
_close_r,0x0012F530,0x0012F538,8
quorem,0x0012F588,0x0012F590,8
_dtoa_r,0x0012F7B8,0x0012F7BC,4
__errno,0x00130A20,0x00130A2C,12
fflush,0x00130A30,0x00130A34,4
std,0x00130B48,0x00130BA4,92
__sfmoreglue,0x00130BA8,0x00130BAC,4
__sfp,0x00130C20,0x00130C24,4
_cleanup_r,0x00130D18,0x00130D20,8
_cleanup,0x00130D38,0x00130D40,8
__sinit,0x00130D58,0x00130D60,8
fprintf,0x00130DE8,0x00130DEC,4
_free_r,0x00130E40,0x00130E44,4
_malloc_trim_r,0x00131138,0x0013113C,4
_fstat_r,0x001312A8,0x001312B0,8
__sfvwrite,0x00131308,0x00131310,8
_fwalk,0x001316E8,0x001316EC,4
_setlocale_r,0x00131780,0x00131784,4
_localeconv_r,0x00131810,0x0013181C,12
setlocale,0x00131820,0x00131828,8
localeconv,0x00131848,0x00131850,8
_lseek_r,0x00131868,0x00131870,8
__smakebuf,0x001318C8,0x001318CC,4
malloc,0x00131A20,0x00131A24,4
free,0x00131A78,0x00131A7C,4
malloc_extend_top,0x00131AC0,0x00131AC8,8
_malloc_r,0x00131D18,0x00131D24,12
_mbtowc_r,0x00132440,0x00132474,52
memchr,0x00132478,0x00132558,88
memcmp,0x00132558,0x001325EC,96
memcpy,0x001325F0,0x001326A0,88
memmove,0x001326A0,0x001327A4,168
memset,0x001327A8,0x00132868,100
__malloc_lock,0x00132868,0x0013286C,4
__malloc_unlock,0x001328E8,0x001328F0,8
_Balloc,0x00132938,0x0013293C,4
_Bfree,0x001329E0,0x00132A0C,44
_multadd,0x00132A10,0x00132A18,8
_s2b,0x00132B18,0x00132B20,8
_hi0bits,0x00132C48,0x00132CC8,128
_lo0bits,0x00132CC8,0x00132D84,188
_i2b,0x00132D88,0x00132D8C,4
_multiply,0x00132DC0,0x00132DC4,4
_pow5mult,0x00132FD0,0x00132FD4,4
_lshift,0x001330D0,0x001330D4,4
__mcmp,0x00133228,0x00133290,104
__mdiff,0x00133290,0x00133294,4
_ulp,0x00133420,0x00133424,4
_b2d,0x001334F0,0x001334F4,4
_d2b,0x00133688,0x0013368C,4
_ratio,0x00133810,0x00133814,4
_mprec_log10,0x001338E0,0x001338E4,4
_printf_r,0x00133950,0x00133954,4
printf,0x001339B0,0x001339B8,8
srand,0x00133A20,0x00133A24,4
rand,0x00133A38,0x00133A40,8
_read_r,0x00133AA0,0x00133AA8,8
_sbrk_r,0x00133B00,0x00133B08,8
_init_signal_r,0x00133B58,0x00133B5C,4
